original	foreign
pseudo-scorpion	Pseudo-Skorpion
baracudda	baracudda
blackamoor	Mohr
faun	Faun
crucifix	Kruzifix
exoplanet	Exoplanet
barracuda	Barrakuda
limousine	Limousine
cockatoo	Kakadu
tombstone	Grabstein
fraser	Fraser
giraffe	Giraffe
sunset	Sonnenuntergang
padlock	Vorhängeschloss
woman	Frau
stork	Storch
gravesite	Grabstätte
saint	Heilige
eagle	Adler
donkey	Esel
deity	Gottheit
clown	Clown
elephant	Elefant
cow	Kuh
tiger	Tiger
mermaid	Meerjungfrau
stewardess	Stewardess
kitten	Kätzchen
unicorn	Einhorn
horseman	Reiter
waterfall	Wasserfall
snowman	Schneemann
lighthouse	Leuchtturm
ethidium	Ethidium
wolf	Wolf
lion	Löwe
soldier	Soldat
snake	Schlange
swastika	Hakenkreuz
object	Objekt
monkey	Affe
knight	Ritter
cat	Katze
man	Mann
rattlesnake	Klapperschlange
damsel	Maid
butterfly	Schmetterling
serpent	Schlange
dragon	Drachen
skull	Schädel
fetus	Fötus
billboard	Reklametafel
dolphin	Delphin
gorilla	Gorilla
morphism	Morphismus
fingerprint	Fingerabdruck
firework	Feuerwerk
angel	Engel
bird	Vogel
meteor	Meteor
bunny	Hase
homomorphism	Homomorphismus
penguin	Pinguin
owl	Eule
teddy	Teddy
flower	Blume
oscilloscope	Oszilloskop
ox	Ochse
girl	Mädchen
fiend	Teufel
planet	Planeten
spider	Spinne
guy	Kerl
painting	Malerei
duck	Ente
cobra	Kobra
lady	Dame
skeleton	Skelett
pyramid	Pyramide
statue	Statue
scene	Szene
peacock	Pfau
witch	Hexe
commonwealth	Gemeinwesen
dinosaur	Dinosaurier
indent	Gedankenstrich
pumpkin	Kürbis
windmill	Windmühle
cowboy	Cowboy
airplane	Flugzeug
rainbow	Regenbogen
sportsman	Sportler
apple	Apfel
plough	Pflug
kangaroo	Känguru
dog	Hund
parrot	Papagei
turtle	Schildkröte
moose	Elch
baby	Baby
boy	Junge
vase	Vase
rabbit	Kaninchen
star	Stern
person	Person
galaxy	Galaxie
swan	Schwan
stag	Hirsch
cube	Würfel
orb	Gestirn
pig	Schwein
comet	Komet
tree	Baum
alligator	Alligator
demon	Dämon
cross-section	Querschnitt
scientist	Wissenschaftler
castle	Burg
bull	Stier
nun	Nonne
barn	Scheune
child	Kind
phoenix	Phoenix
distraction	Ablenkung
ant	Ameise
candle	Kerze
sculpture	Skulptur
circle	Kreis
brand-new	brandneue
sunflower	Sonnenblume
graveyard	Friedhof
hamburger	Hamburger
iceberg	Eisberg
mosque	Moschee
sphere	Kugel
zebra	Zebra
triangle	Dreieck
turkey	Truthahn
machine	Maschine
keyboard	Tastatur
corpse	Leiche
globe	Globus
astronaut	Astronaut
shepherd	Schäfer
kid	Kind
puppy	Hund
koala	Koala
fox	Fuchs
patient	Patient
shark	Hai
sailor	Seemann
infant	Kleinkind
mural	Wandgemälde
fairy	Fee
chick	Küken
pipe	Rohr
kite	Drachen
celebrity	Berühmtheit
slowdown	Verlangsamung
mountain	Berg
landscape	Landschaft
volcano	Vulkan
house	Haus
ghost	Gespenst
animal	Tier
horse	Pferd
freeway	Autobahn
clock	Uhr
goddess	Göttin
cake	Kuchen
face	Gesicht
gun	Pistole
warrior	Krieger
politician	Politiker
