original	foreign
pseudo-scorpion	pseudo-scorpion
baracudda	baracudda
blackamoor	blackamoor
faun	faun
crucifix	crucifix
exoplanet	exoplanet
barracuda	barracuda
limousine	limousine
cockatoo	cockatoo
tombstone	tombstone
fraser	fraser
giraffe	giraffe
sunset	sunset
padlock	padlock
woman	woman
stork	stork
gravesite	gravesite
saint	saint
eagle	eagle
donkey	donkey
deity	deity
clown	clown
elephant	elephant
cow	cow
tiger	tiger
mermaid	mermaid
stewardess	stewardess
kitten	kitten
unicorn	unicorn
horseman	horseman
waterfall	waterfall
snowman	snowman
lighthouse	lighthouse
ethidium	ethidium
wolf	wolf
lion	lion
soldier	soldier
snake	snake
swastika	swastika
object	object
monkey	monkey
knight	knight
cat	cat
man	man
rattlesnake	rattlesnake
damsel	damsel
butterfly	butterfly
serpent	serpent
dragon	dragon
skull	skull
fetus	fetus
billboard	billboard
dolphin	dolphin
gorilla	gorilla
morphism	morphism
fingerprint	fingerprint
firework	firework
angel	angel
bird	bird
meteor	meteor
bunny	bunny
homomorphism	homomorphism
penguin	penguin
owl	owl
teddy	teddy
flower	flower
oscilloscope	oscilloscope
ox	ox
girl	girl
fiend	fiend
planet	planet
spider	spider
guy	guy
painting	painting
duck	duck
cobra	cobra
lady	lady
skeleton	skeleton
pyramid	pyramid
statue	statue
scene	scene
peacock	peacock
witch	witch
commonwealth	commonwealth
dinosaur	dinosaur
indent	indent
pumpkin	pumpkin
windmill	windmill
cowboy	cowboy
airplane	airplane
rainbow	rainbow
sportsman	sportsman
apple	apple
plough	plough
kangaroo	kangaroo
dog	dog
parrot	parrot
turtle	turtle
moose	moose
baby	baby
boy	boy
vase	vase
rabbit	rabbit
star	star
person	person
galaxy	galaxy
swan	swan
stag	stag
cube	cube
orb	orb
pig	pig
comet	comet
tree	tree
alligator	alligator
demon	demon
cross-section	cross-section
scientist	scientist
castle	castle
bull	bull
nun	nun
barn	barn
child	child
phoenix	phoenix
distraction	distraction
ant	ant
candle	candle
sculpture	sculpture
circle	circle
brand-new	brand-new
sunflower	sunflower
graveyard	graveyard
hamburger	hamburger
iceberg	iceberg
mosque	mosque
sphere	sphere
zebra	zebra
triangle	triangle
turkey	turkey
machine	machine
keyboard	keyboard
corpse	corpse
globe	globe
astronaut	astronaut
shepherd	shepherd
kid	kid
puppy	puppy
koala	koala
fox	fox
patient	patient
shark	shark
sailor	sailor
infant	infant
mural	mural
fairy	fairy
chick	chick
pipe	pipe
kite	kite
celebrity	celebrity
slowdown	slowdown
mountain	mountain
landscape	landscape
volcano	volcano
house	house
ghost	ghost
animal	animal
horse	horse
freeway	freeway
clock	clock
goddess	goddess
cake	cake
face	face
gun	gun
warrior	warrior
politician	politician
creature	creature
cavern	cavern
tornado	tornado
diver	diver
mushroom	mushroom
atom	atom
robbery	robbery
banana	banana
puppet	puppet
economist	economist
priest	priest
photograph	photograph
ob	ob
fisherman	fisherman
goo	goo
plane	plane
beetle	beetle
cop	cop
goat	goat
librarian	librarian
dude	dude
lake	lake
prisoner	prisoner
whale	whale
car	car
ship	ship
truck	truck
slice	slice
toddler	toddler
couple	couple
athlete	athlete
fish	fish
bat	bat
character	character
bicycle	bicycle
eye	eye
cucumber	cucumber
bridge	bridge
sheep	sheep
leaf	leaf
fountain	fountain
wizard	wizard
lock	lock
cigarette	cigarette
lamb	lamb
continent	continent
folder	folder
mother	mother
arrow	arrow
monster	monster
cutie	cutie
society	society
poster	poster
building	building
bomb	bomb
item	item
plump	plump
necklace	necklace
rectangle	rectangle
rebel	rebel
picture	picture
sample	sample
cheerleader	cheerleader
mouse	mouse
train	train
river	river
ruler	ruler
motorcycle	motorcycle
molecule	molecule
map	map
sign	sign
city	city
boat	boat
snow	snow
document	document
hero	hero
temple	temple
church	church
dancer	dancer
backdrop	backdrop
pitcher	pitcher
nation	nation
disk	disk
hand	hand
spiral	spiral
cloud	cloud
chair	chair
quilt	quilt
crown	crown
beach	beach
nail	nail
vertex	vertex
chicken	chicken
flag	flag
egg	egg
ladder	ladder
lamp	lamp
organisation	organisation
diffraction	diffraction
street	street
scream	scream
knife	knife
tomato	tomato
bride	bride
passport	passport
friend	friend
robot	robot
company	company
landmark	landmark
neighborhood	neighborhood
plant	plant
gentleman	gentleman
product	product
teenager	teenager
organ	organ
king	king
signature	signature
mask	mask
particle	particle
seal	seal
lemon	lemon
lip	lip
bike	bike
actor	actor
helicopter	helicopter
enemy	enemy
ball	ball
country	country
hole	hole
toy	toy
totem	totem
forest	forest
fist	fist
par	par
envelope	envelope
un	un
cottage	cottage
room	room
hurricane	hurricane
stamp	stamp
bullet	bullet
brain	brain
figure	figure
window	window
disc	disc
pole	pole
toilet	toilet
world	world
camera	camera
target	target
situation	situation
heart	heart
smiley	smiley
organization	organization
photographer	photographer
bus	bus
model	model
logo	logo
family	family
pond	pond
destination	destination
letter	letter
brand	brand
region	region
defect	defect
hat	hat
sword	sword
sin	sin
bottle	bottle
bell	bell
element	element
quantum	quantum
page	page
flame	flame
partition	partition
point	point
cell	cell
CD	CD
murder	murder
orange	orange
nucleus	nucleus
wheel	wheel
photo	photo
event	event
tank	tank
candidate	candidate
shoe	shoe
storm	storm
haven	haven
clip	clip
leg	leg
underwear	underwear
table	table
moment	moment
leader	leader
sun	sun
journey	journey
tongue	tongue
outfit	outfit
non	non
wall	wall
economy	economy
farm	farm
universe	universe
sub	sub
pantyhose	pantyhose
artwork	artwork
artist	artist
place	place
town	town
crowd	crowd
profession	profession
area	area
surface	surface
entity	entity
garden	garden
writer	writer
battery	battery
secretary	secretary
soul	soul
wound	wound
crack	crack
book	book
institution	institution
dream	dream
father	father
computer	computer
hip	hip
finger	finger
interval	interval
mouth	mouth
section	section
crystal	crystal
box	box
phenomenon	phenomenon
com	com
aircraft	aircraft
printer	printer
door	door
pre	pre
edge	edge
rock	rock
camp	camp
guitar	guitar
word	word
corporation	corporation
career	career
cream	cream
community	community
sailing	sailing
lifetime	lifetime
body	body
image	image
piano	piano
curve	curve
epidemic	epidemic
era	era
con	con
sequence	sequence
slide	slide
classroom	classroom
culture	culture
plate	plate
head	head
vehicle	vehicle
grid	grid
lawyer	lawyer
industry	industry
film	film
self	self
student	student
ear	ear
pleasure	pleasure
cup	cup
mirror	mirror
gel	gel
village	village
device	device
band	band
university	university
fire	fire
pattern	pattern
television	television
thing	thing
button	button
ad	ad
segment	segment
sport	sport
tumor	tumor
reality	reality
graph	graph
rat	rat
line	line
restaurant	restaurant
park	park
bug	bug
phone	phone
casino	casino
calendar	calendar
skin	skin
album	album
professor	professor
road	road
football	football
bikini	bikini
path	path
electron	electron
stream	stream
field	field
incident	incident
election	election
hair	hair
lingerie	lingerie
teacher	teacher
officer	officer
kitchen	kitchen
life	life
TV	TV
school	school
island	island
stuff	stuff
topic	topic
node	node
transition	transition
middle	middle
bed	bed
