original	foreign
pseudo-scorpion	pseudo-scorpione
baracudda	baracudda
blackamoor	negro
faun	fauno
crucifix	crocifisso
exoplanet	pianeta extrasolare
barracuda	barracuda
limousine	limousine
cockatoo	cacatua
tombstone	lapide
fraser	fraser
giraffe	giraffa
sunset	tramonto
padlock	lucchetto
woman	donna
stork	cicogna
gravesite	tomba
saint	santo
eagle	aquila
donkey	asino
deity	divinità
clown	clown
elephant	elefante
cow	mucca
tiger	tigre
mermaid	sirena
stewardess	hostess
kitten	gattino
unicorn	unicorno
horseman	cavaliere
waterfall	cascata
snowman	pupazzo di neve
lighthouse	faro
ethidium	etidio
wolf	lupo
lion	leone
soldier	soldato
snake	serpente
swastika	svastica
object	oggetto
monkey	scimmia
knight	cavaliere
cat	cat
man	uomo
rattlesnake	serpente a sonagli
damsel	donzella
butterfly	farfalla
serpent	serpente
dragon	drago
skull	cranio
fetus	feto
billboard	tabellone
dolphin	delfino
gorilla	gorilla
morphism	morfismo
fingerprint	impronta
firework	fuoco de artificio
angel	angelo
bird	uccello
meteor	meteora
bunny	coniglietto
homomorphism	omomorfismo
penguin	pinguino
owl	gufo
teddy	teddy
flower	fiore
oscilloscope	oscilloscopio
ox	bue
girl	ragazza
fiend	demonio
planet	pianeta
spider	ragno
guy	ragazzo
painting	pittura
duck	anatra
cobra	cobra
lady	signora
skeleton	scheletro
pyramid	piramide
statue	statua
scene	scena
peacock	pavone
witch	strega
commonwealth	repubblica
dinosaur	dinosauro
indent	trattino
pumpkin	zucca
windmill	mulino a vento
cowboy	cowboy
airplane	aereo
rainbow	arcobaleno
sportsman	sportivo
apple	mela
plough	aratro
kangaroo	canguro
dog	cane
parrot	pappagallo
turtle	tartaruga
moose	alce
baby	bambino
boy	ragazzo
vase	vaso
rabbit	coniglio
star	star
person	persona
galaxy	galassia
swan	cigno
stag	cervo
cube	cubo
orb	globo
pig	maiale
comet	cometa
tree	albero
alligator	alligatore
demon	demonio
cross-section	sezione trasversale
scientist	scienziato
castle	castello
bull	toro
nun	suora
barn	fienile
child	bambino
phoenix	fenice
distraction	distrazione
ant	formica
candle	candela
sculpture	scultura
circle	cerchio
brand-new	nuovo di zecca
sunflower	girasole
graveyard	cimitero
hamburger	hamburger
iceberg	iceberg
mosque	moschea
sphere	sfera
zebra	zebra
triangle	triangolo
turkey	Turchia
machine	macchina
keyboard	tastiera
corpse	cadavere
globe	globo
astronaut	astronauta
shepherd	pastore
kid	capretto
puppy	cucciolo
koala	koala
fox	volpe
patient	paziente
shark	squalo
sailor	marinaio
infant	neonato
mural	murale
fairy	fata
chick	pulcino
pipe	tubo
kite	aquilone
celebrity	celebrità
slowdown	rallentamento
mountain	montagna
landscape	paesaggio
volcano	vulcano
house	casa
ghost	fantasma
animal	animale
horse	cavallo
freeway	superstrada
clock	orologio
goddess	dea
cake	torta
face	faccia
gun	pistola
warrior	guerriero
politician	politico
creature	creatura
cavern	caverna
tornado	tornado
diver	tuffatore
mushroom	fungo
atom	atomo
robbery	rapina
banana	banana
puppet	burattino
economist	economista
priest	sacerdote
photograph	fotografia
ob	ob
fisherman	pescatore
goo	goo
plane	piano
beetle	scarafaggio
cop	poliziotto
goat	capra
librarian	bibliotecario
dude	bellimbusto
lake	lago
prisoner	prigioniero
whale	balena
car	auto
ship	nave
truck	camion
slice	fetta
toddler	toddler
couple	Coppia
athlete	atleta
fish	di pesce
bat	pipistrello
character	carattere
bicycle	bicicletta
eye	occhio
cucumber	cetriolo
bridge	ponte
sheep	pecore
leaf	foglia
fountain	fontana
wizard	guidata
lock	blocco
cigarette	sigaretta
lamb	agnello
continent	continente
folder	cartella
mother	madre
arrow	arrow
monster	mostro
cutie	cutie
society	società
poster	poster
building	costruzione
bomb	bomba
item	Luogo in cui si
plump	paffuto
necklace	collana
rectangle	rettangolo
rebel	ribelle
picture	foto
sample	campione
cheerleader	cheerleader
mouse	mouse
train	treno
river	fiume
ruler	righello
motorcycle	motociclo
molecule	molecola
map	mappa
sign	segno
city	città
boat	Barca
snow	neve
document	documento
hero	eroe
temple	tempio
church	chiesa
dancer	ballerino
backdrop	fondale
pitcher	brocca
nation	nazione
disk	disco
hand	mano
spiral	spirale
cloud	nuvola
chair	Sedia
quilt	trapunta
crown	corona
beach	spiaggia
nail	chiodo
vertex	vertice
chicken	pollo
flag	bandiera
egg	uovo
ladder	scala
lamp	lampada
organisation	organizzazione
diffraction	diffrazione
street	strada
scream	urlo
knife	coltello
tomato	pomodoro
bride	sposa
passport	passaporto
friend	amico
robot	robot
company	azienda
landmark	punto di riferimento
neighborhood	quartiere
plant	impianto
gentleman	gentiluomo
product	prodotto
teenager	adolescente
organ	organo
king	re
signature	firma
mask	maschera
particle	particella
seal	sigillo
lemon	limone
lip	labbro
bike	bici
actor	attore
helicopter	elicottero
enemy	nemico
ball	palla
country	Paese
hole	buco
toy	giocattolo
totem	totem
forest	foresta
fist	pugno
par	par
envelope	busta
un	ONU
cottage	Cottage
