original	foreign
pseudo-scorpion	pseudo-schorpioen
baracudda	baracudda
blackamoor	neger
faun	faun
crucifix	kruisbeeld
exoplanet	exoplaneet
barracuda	barracuda
limousine	limousine
cockatoo	kaketoe
tombstone	grafsteen
fraser	fraser
giraffe	giraffe
sunset	zonsondergang
padlock	hangslot
woman	vrouw
stork	Stork
gravesite	graf
saint	Saint
eagle	adelaar
donkey	ezel
deity	godheid
clown	clown
elephant	olifant
cow	koe
tiger	tijger
mermaid	zeemeermin
stewardess	stewardess
kitten	katje
unicorn	eenhoorn
horseman	ruiter
waterfall	waterval
snowman	sneeuwpop
lighthouse	vuurtoren
ethidium	ethidium
wolf	wolf
lion	leeuw
soldier	soldaat
snake	slang
swastika	swastika
object	object
monkey	aap
knight	ridder
cat	kat
man	man
rattlesnake	ratelslang
damsel	jonkvrouw
butterfly	vlinder
serpent	slang
dragon	draak
skull	schedel
fetus	foetus
billboard	aanplakbord
dolphin	dolfijn
gorilla	gorilla
morphism	morfisme
fingerprint	vingerafdruk
firework	vuurwerk
angel	engel
bird	vogel
meteor	meteoor
bunny	konijntje
homomorphism	homomorfisme
penguin	pinguïn
owl	uil
teddy	teddy
flower	bloem
oscilloscope	oscilloscoop
ox	os
girl	meisje
fiend	duivel
planet	planeet
spider	Spider
guy	kerel
painting	schilderen
duck	eend
cobra	cobra
lady	dame
skeleton	skelet
pyramid	piramide
statue	standbeeld
scene	scène
peacock	pauw
witch	heks
commonwealth	gemenebest
dinosaur	dinosaurus
indent	streepje
pumpkin	pompoen
windmill	windmolen
cowboy	cowboy
airplane	vliegtuig
rainbow	regenboog
sportsman	sportman
apple	Apple
plough	ploeg
kangaroo	kangoeroe
dog	hond
parrot	papegaai
turtle	zeeschildpad
moose	eland
baby	baby
boy	jongen
vase	vaas
rabbit	konijn
star	star
person	persoon
galaxy	Melkweg
swan	zwaan
stag	hert
cube	kubus
orb	bol
pig	varken
comet	komeet
tree	boom
alligator	alligator
demon	demon
cross-section	dwarsdoorsnede
scientist	wetenschapper
castle	kasteel
bull	Bull
nun	non
barn	schuur
child	kind
phoenix	Phoenix
distraction	afleiding
ant	mier
candle	kaars
sculpture	sculptuur
circle	cirkel
brand-new	splinternieuw
sunflower	zonnebloem
graveyard	kerkhof
hamburger	hamburger
iceberg	ijsberg
mosque	moskee
sphere	bol
zebra	zebra
triangle	driehoek
turkey	Turkije
machine	machine
keyboard	toetsenbord
corpse	lijk
globe	wereldbol
astronaut	astronaut
shepherd	herder
kid	kind
puppy	puppy
koala	koala
fox	vos
patient	patiënt
shark	haai
sailor	matroos
